aar,aárra
ziasartu,ciasartua
ziatu,ciatua
ziatu,ciatuá
ziazalde,ciazaldea
ziazaldu,ciazaldua
ziazaldun,ciazalduna
ziazku,ciazcua
ziazkutu,ciazcutua
ziazorrotz,ciazorrotza
zibolde,ciboldea
zibota,cibota
zibotagile,cibotaguillea
zikatxur,cicachurra
zikari,cicaria
zikate,cicatea
zikatzaile,cicatzallea
zizelatu,cicelatua
zizeilu,cicellua
zizendatsu,cicendatsua
zitxo,cichoa
zikoitz,cicoitza
zikoizko,cicoizcoa
zikoizkeria,cicoizqueria
zidar,cidarra
zidar,cidarrá
ziega,ciegá
zierto,ciertoa
ziertoez,ciertoeza
ziertotu,ciertotua
zigar,cigarrá
zigoiztatu,cigoiztatua
zigortxo,cigorchoa
zigor,cigorra
zigor,cigorrá
zigorrada,cigorrada
zigilatu,ciguilatu
zigildu,ciguildua
zigilari,ciguillaria
zigilu,ciguillua
zigilu,ciguilua
zihoto,cihotoa
zil,cila
zilegitu,cileguitu
zilegitu,cileguitua
zileikinde,cileiquindea
zilibokari,cilibocaria
zilibokati,cilibocatia
zilibokatu,cilibocatua
zilizio,cilicioa
zilar,cillar
zilar bizi,cillar bicia
zilargile,cillarguillea
zilargin,cillarguiña
zilarjoskunde,cillarjoscundea
zilar,cillarra
zilarreztatu,cillarreztatu
zilarreztu,cillarreztua
zilegi,cilleguia
zilo,cilloa
zilontzi,cillontzia
zilo,ciloa
zilodi,cilodia
ziloratu,ciloratua
zilotsu,cilotsua
ziluzneurri,ciluzneurria
zimeatu,cimeatua
zimeatzaile,cimeatzallea
zimel,cimelá
zimendatu,cimendatua
zimendu,cimenduá
zimikatu,cimicatu
zimiko,cimicoa
zimurdun,cimurduna
zimur,cimurra
zimur,cimurrac
zimurtu,cimurtu
zimurtu,cimurtú
zimurtu,cimurtua
zimurtzi,cimurtzia
zin,ciná
zinal,cinalá
zinantz,cinantza
zinatu,ciñatu
zinazkidatu,cinazquidatua
zintxatu,cinchatua
zintzilik,cincilica
zingila,cinguilla
zingilatu,cinguillatua
zingira,cinguira
zingira,cinguirá
zingiradi,cinguiradia
zinol,cinola
zinoldari,cinoldaria
zinoldatzaile,cinoldatzallea
zinolde,cinoldea
zinoldu,cinoldua
zinolgarri,cinolgarria
zinta,cinta
zintatxo,cintachoa
zintadi,cintadia
zinti,cintia
zintzaiki,cintzaiquia
zintzatu,cintzatu
zintzo,cintzoa
zintzoide,cintzoidea
zintzotasun,cintzotasuna
zintzotu,cintzotu
zintzotu,cintzotua
zintzurkoi,cintzurcoya
zintzur,cintzurra
zioatu,cioatua
ziorri,ciorria
zipotz,cipotza
zipoztu,cipoztua
zipres,cipresa
zipresdi,cipresdia
zikin,ciquin
zikin,ciquiña
zikindu,ciquindu
zikindu,ciquindua
zikinkeria,ciquinqueria
zikintze,ciquintzea
zikirio,ciquirioa
ziragande,ciragandea
ziraikilari,ciraiquilaria
ziraikitu,ciraiquitua
zirargile,cirarguillea
zirberuki,cirberuquia
zirtzilu,circillua
zirtzilu,circilluac
zirtzilu,circiluac
ziri,ciria
zirikari,ciricaria
zirikatu,ciricatu
zirikatu,ciricatua
ziriku,ciricua
zirikudi,ciricudia
zirikugile,ciricuguillea
zirikuzko,ciricuzcoa
zirio,cirioa
zirikeale,ciriquealea
zirraidari,cirraidaria
zirratz,cirratza
zirritu,cirritua
zirritutxo,cirrituchoa
zital,citala
zitaldu,citaldu
zitalkeria,citalqueria
zitara,citara
ziti,citia
zitorigori,citorigoria
zitsu,citsua
ziur,ciurra
ziur,ciurrá
ziurte,ciurtea
ziztatu,ciztatu
ziztatu,ciztatua
klarin,clariná
klarinari,clarinaria
klaustro,claustroa
kleratsu,cleratsua
koaje,coagea
koartzatxo,coarzachoa
kobatu,cobatua
koberatu,coberatu
kobraezin,cobraeciña
kobraezgarri,cobraezgarria
kobrantza,cobrantzá
kobrantza,cobranza
kobratu,cobratu
kobratu,cobratua
kobratzaile,cobratzallea
kokande,cocandea
kokatu,cocatú
kokatu,cocatua
kotxati,cochatia
kotxatu,cochatua
kotxodun,cochoduna
kozinari,cociñaria
kokorik,cócorica
kokote,cocoteá
kofadura,cofadura
kofau,cofaua
kofia,cofia
kofretxo,cofrechoa
koipe,coipea
koipetsu,coipetsua
koipeztatu,coipeztatu
koitadu,coitadua
kolazio,colacioa
kolaztatu,colaztatua
koltxatu,colchatua
koltxatze,colchatzea
koltxoigile,colchoiguillea
koltxoi,colchoya
kolejial,colegiala
kolejio,colegioa
kolera,colera
kolerati,coleratia
koleto,coletoa
kolokatu,colocatu
kolokai,colocaya
koloma,coloma
koloretu,coloretua
koloreztatu,coloreztatu
kolpaki,colpaquia
kolpari,colparia
kolpatu,colpatu
kolpeatoki,colpeatoquia
kolpetxo,colpechoa
komai,comaia
komaizale,comaizalea
komedia,comedia
komediante,comediante
komentuar,comentuarra
konpai,compaya
konplet,completac
konpligarri,compligarria
konpondu,compondu
konpondu,compondú
konpondu,compondua
konpontzaile,compontzallea
konpontze,compontzea
konporta,comporta
konporta,comportá
komulgatu,comulgatu
komundazio,comundacioa
komundago,comundagoa
komundatu,comundatua
komundatzaile,comundatzallea
komunde,comundea
kontzertatu,concertatua
kontzientzia,conciencia
konkor,concorra
kondadu,condadua
kondaira,condairá
kondairagile,condairaguillea
kondairale,condairalea
kondairatu,condairatua
kondar,condarra
kondar,condarrá
kondar,condarrac
kondatu,condatu
kondenazio,condenacioa
kondenazioko,condenaciocoa
kondenagarri,condenagarria
kondenari,condenaria
kondenatu,condenatu
kondenatu,condenatua
kondenatzaile,condenatzallea
kondenatze,condenatzea
kondo,condoa
kondo,condoac
kondotxo,condochoa
koneju,conejua
konfesatu,confesatu
konfesore,confessorea
konfiantza,confianza
konjit,congita
kongrio,congrioa
konjuratu,conjuratu
kontsejari,consejaria
kontsejatu,consejatua
kontseilari,consellaria
kontseilatu,consellatú
kontseilatu,consellatua
kontseilu,consellua
kontsideragarri,consideragarria
kontsideratu,consideratu
kontsideratu,consideratua
kontsolagile,consolaguillea
kontsolatu,consolatu
kontsolatu,consolatua
kontsolatzaile,consolatzallea
kontsuelo,consueloa
kontaezin,contaeciña
kontaezgarri,contaezgarria
kontaezkizun,contaezquizuna
kontakidatu,contaquidatua
kontakizun,contaquizuna
kontatu,contatu
kontatu,contatua
kontatzaile,contatzallea
kontatze,contatzea
kontentatu,contentatu
kontraaginde,contraaguindea
kontraante,contraantea
kontraaritze,contraaritzea
kontrabandista,contrabandista
kontrabando,contrabandoa
kontrabelar,contrabelarra
kontrazistali,contracistalia
kontradantza,contradanza
kontraegotzaile,contraegotzallea
kontraerrate,contraerratea
kontraesale,contraesalea
kontraesan,contraesan
kontraesan,contraesana
kontraesate,contraesatea
kontraetorle,contraetorlea
kontraeuskin,contraeusquiña
kontragoiaginde,contragoyaguindea
kontraizurri,contraizurria
kontralezoi,contralezoyac
kontramaisu,contramaisua
kontramanu,contramanua
kontramargo,contramargoa
kontramurrobi,contramurrobia
kontramurru,contramurrua
kontrapisu,contrapisua
kontrapozoi,contrapozoia
kontrakidatu,contraquidatua
kontrasutunpadi,contrasutumpadia
kontratu,contratu
kontrazupaldats,contrazupaldatsa
kontrestalgo,contrestalgoa
kontrezarri,contrezarria
kontrezarte,contrezartea
kontu,contua
kontutegi,contuteguia
kontuz,contúz
kontuzko,contuzcoa
konbeni,conveni
konbertigarri,convertigarria
konbertitu,convertitu
konbertitu,convertitua
kopa,copá
kopatu,copatu
kopatu,copatua
kopeta,copeta
kopeta,copetá
kopeta bidun,copeta biduna
kopetatxo,copetachoa
kopia,copia
koplagile,coplaguillea
koplatzar,coplatzarra
korapilarte,corapillartea
korapilatsu,corapillatsua
korapilatu,corapillatu
korapilatu,corapillatua
kortxete,corchete
kortxo,corchoa
korkotx,corcocha
korkoi,corcoya
korde galtze,corde galtzea
korde,cordea
kordea galdu,cordea galdua
kordeltxo,cordelchoa
kordoban,cordobaná
kordokapen,cordocapena
kordoi kolpe,cordoi colpea
kordoitxo,cordoichoa
kordoidi,cordoidia
kordoi,cordoya
kornadu,cornadua
koroatxo,coroachoa
koroatu,coroatu
koroatu,coroatua
koroatze,coroatzea
koroiltxo,coroilchoa
koroildu,coroildua
koroilki,coroilquia
koroi,coroya
korporal,corporalac
korrejidore,corregidorea
korrejimendu,corregimendua
korreo,correoa
korrespontsal,corresponsal
korrikari,corricaria
korrosko,corroscoa
kortes,cortesá
kortesia,cortesia
kortijo,cortijo
koska,cosca
koskabiltxo,coscabilchoa
koskarabiltxo,coscarabilchoa
koskarabilo,coscarabilloa
koskatu,coscatu
koskatu,coscatua
koskatzaile,coscatzallea
kosko,coscoa
koskoil,coscoll
kosketako,cosquetacoa
kosketatu,cosquetatua
kosta,costa
kostaratu,costaratu
kostatu,costatu
kostomar,costomarra
kostumatu,costumatua
kostunbratu,costumbratua
kostutsu,costutsua
kota,cota
kotizbile,cotizbillea
kotiztari,cotiztaria
koi,coya
kraka,cracá
krakatsu,cracatsua
krisket,crisqueta
kristalezko,cristalezcoa
krobitxet,crobicheta
kroka,croca
kroka,crocá
krokatu,crocatua
krokodilo,crocodiloa
krueldade,crueldadea
kruzado,cruzadoa
kubel,cubela
kubierta,cubierta
kutxa,cucha
kutxal,cuchalá
kutxaregile,cuchareguillea
kutxaretzar,cucharetzarra
kutxoil,cuchoilla
kuku,cucua
kukurizkatu,cucurizcatua
kukustegi,cucusteguia
kuerd,cuerdac
kuerdaztu,cuerdaztua
kuia,cuiá
kuiraki,cuiraquia
kulata,culata
kulpadun,culpaduna
kulpagarri,culpagarria
kulusk,culuscac
kume,cumea
kumino,cuminoa
kunkur,cuncurrá
kupidezkor,cupidezcorra
kupitu,cupitu
kupitu,cupitua
kuprits,cupritsa
kuraiatu,curayatua
kurku,curcua
kurintxo,curinchoa
kurintxo,curinchoac
kurrika,currica
kurrunka,currunca
kurrunkari,curruncaria
kurruki,curruquia
kutsaide,cutsaidea
kutsardo,cutsardoa
kutsate,cutsatea
kutsatu,cutsatu
kutsatu,cutsatua
kutsu,cutsua
kutun,cutuná
kuturgarri,cuturgarria
kutur,cuturra
kutur,cuturrá
kuturtu,cuturtua
dafaila,dafailla
damatxo,damachoa
damandre,damandrea
damasko,damascoa
danbadako,dambadacoa
danbolindari,dambolindaria
damu izan,damu izan
damu,damua
damualdi,damualdia
damudet,damudetac
damugarri,damugarria
damutu,damutu
damutu,damutua
dan,dana
dangada,dangadá
dantza,dantzá
dantzagai,dantzagaya
dantzari,dantzaria
dantzatu,dantzatu
dantza,danza
dakirasi,daquirasia
dakiregi,daquireguia
dardara,dardará
dardaratu,dardaratu
darraikotu,darraicotua
darraikoi,darraicoya
dastari,dastaria
dastatu,dastatu
dastatu,dastatua
datorren,datorrena
daukidatu,dauquidatua
deabru zomorro,deabru zomorroa
deabru,deabrua
deabrudun,deabruduna
deabrukeria,deabruqueria
deabruti,deabrutia
deabrutu,deabrutu
deabrutu,deabrutua
deabruz bete,deabruz betea
debekatu,debecatu
debekatu,debecatua
debeku,debecua
debede,debedea
defendatzaile,defendatzallea
defentsa,defensa
defuntu,defuntua
dei,deia
dei,deiá
dei,déiac
deigarri,deigarria
deikidatu,deiquidatua
deitatu,deitatua
deitore,deitorea
deitu,deitu
deitu,deitua
deitu,deituá
deitzaile,deitzallea
deitze,deitzea
delirio,delirio
denbora,dembora
demoniatu,demoniatua
demonio,demonioa
den,dena
denda,denda
dendamen,dendamena
dendari,dendaria
dendatu,dendatu
dendatu,dendatua
denge,denguea
desagertu,desaguertu
desalai,desalaia
desalaitu,desalaitua
desamodio,desamodioa
desamore,desamorea
desanparo,desamparoa
desantolatu,desantolatu
desapainde,desapaindea
desaraude,desaraudea
desarautu,desarautua
desargitu,desarguitua
desarmatu,desarmatu
desarrimu,desarrimua
desazaldu,desazaldua
desberdindu,desberdindu
desbidatu,desbidatua
deskantsatu,descansatu
deskantsatu,descansatua
deskantsu,descansua
deskarga,descargá
deskargaleku,descargalecua
deskargatu,descargatu
deskargatu,descargatua
deskargu,descargua
deskonpondu,descompondua
deskontatu,descontatu
deskontentu,descontentua
deskontu,descontua
deskortes,descortesa
deskortesia,descortesia
deskortesia,descortesìa
deskuidatu,descuidatu
desdinatu,desdiñatua
deseagarri,deseagarria
deseatu,deseatu
deseatu,deseatua
desegoki,desegoquia
desegile,deseguillea
desegin,deseguin
desegin,deseguiña
deseginde,deseguindea
desenkusa,desencusa
desenkusatu,desencusatu
desenkusatu,desencusatua
deseo,deseoa
deserri,deserria
deserritu,deserritu
deserritu,deserritua
deserrotu,deserrotu
desertu,desertua
desesan,desesana
desesan,desesaná
desestalgo,desestalgoa
desestali,desestali
desestali,desestalia
desezkondu,desezcondua
desgobernu,desgobernua
desgrazia,desgracia
desgiro,desguiroa
desira,desira
desiratu,desiratu
desitsatsi,desitsatsi
desizoztu,desizoztu
deslaitsu,deslaitsua
deslaitu,deslaitu
deslaitu,deslaitua
deslai,deslaya
desleial,desleyala
desleial,desleyalá
desleialtasun,desleyaltasuna
desloratu,desloratu
deslotu,deslotu
desmaio,desmayoa
desneke,desnequea
desobedientzia,desobediencia
desobeditu,desobeditu
desohoragarri,desohoragarria
desohoratu,desohoratu
desohoratu,desohoratú
desohoratu,desohoratua
desohore,desohorea
desongunde,desongundea
desordu,desordua
desore,desorea
desoren,desorena
despeditu,despeditu
despeditu,despeditua
desplazer,desplacer
destapo,destapoa
destatu,destatua
destolestu,destolestu
destolestu,destolestua
destu,destua
debozio,devocioa
deboto,devotoa
dei,deya
diakono,diaconoa
dialektika,dialectica
dialektiko,dialecticoa
dialekto,dialecto
diamante,diamantea
dianagusi,dianagusia
diakinde,diaquindea
diatu,diatua
ditxaki,dichaquia
ditxidatu,dichidatua
ditxoso,dichosoa
diktamo,dictamoa
dieronde,dierondea
dierondear,dierondearra
dierri,dierria
dierritar,dierritarra
diferentzia,diferencia
dilijente,diligentea
dilindari,dilindaria
dilista,dilista
din din,din diña
din,diña
dindai,dindaya
dinde,dindea
dindirri,dindirria
diozestar,diocestarra
diosal,diosala
diosal,diosalac
dirdari,dirdaria
diru,diru
diru,dirua
dirualdi,dirualdia
dirudun,diruduna
dirugile,diruguillea
dirukin,diruquiña
dirutu,dirutu
dirutu,dirutua
disparate,disparatea
doaiker,doaiquerra
doaikertu,doaiquertua
doaiztu,doaiztua
doandigo,doandigoa
doanditu,doanditua
doango,doangoa
doangile,doanguillea
doanki,doanquia
doake,doaquea
doari,doaria
doarikako,doaricacoa
doaritu,doaritua
doblatu,doblatu
doktrina,doctrina
doi,doi
doi,doia
doide,doidea
doiki,doiquia
doitu,doitú
doitu,doituá
dolamen,dolamena
dolamendun,dolamenduna
dolare,dolarea
dolkai,dolcaya
doilorkeria,dollorqueria
doilor,dollorra
doilortu,dollortu
dolore,dolorea
dolor,dolorra
domeka,domecá
don,dona
donaber,donaberac
donaberari,donaberaria
donakidatu,donaquidatua
donari,donaria
donati,donatia
donausle,donauslea
donautsi,donautsia
dontzeila,doncella
dontzeilatxo,doncellachoa
donekarri,donecarria
donedati,donedatia
donede,donedea
donede,doñedea
donegile,doneguillea
donekidatu,donequidatua
doneragin,doneraguiña
donestatu,donestatua
donestu,donestua
doneti,donetia
donetoitz,donetoitza
donetu,donetua
dongari,dongaria
donge,donguea
dongede,donguedea
dongetasun,donguetasuna
donkite,donquitea
donkiteko,donquitecoa
donkitu,donquitua
dontsu,dontsua
donu,donua
dorpetasun,dorpetasuna
doskaindu,doscaindua
dostatu,dostatu
doi,doya
dukat,ducata
duda,dudá
dudaezgarri,dudaezgarria
dudagarri,dudagarria
dudaldi,dudaldia
dudatsu,dudatsua
dudatu,dudatu
duende,duendea
duikin,duiquiña
duikinde,duiquindea
dultze,dulceac
dunbada,dumbada
dunbots,dumbotsa
dunduriatu,dunduriatua
durundi,durundia
dui,duyá
eakinde,eaquindea
ebakera,ebaquera
ebaki,ebaqui
ebaki,ebaquia
ebakinde,ebaquindea
ebakitzaile,ebaquitzallea
ebaskun,ebascuna
ebasle,ebaslea
ebasle,ebáslea
ebaste,ebastea
ebatsi,ebatsi
ekadoi,ecadoya
ekaitz,ecaitza
ekaitz,ecaitzá
ekaitz,ecaitzac
ekaizti,ecaiztia
ekandu,ecandua
ekantzatu,ecanzatua
ekargin,ecarguiña
ekarle,ecarlea
ekarrai,ecarraia
ekarrai,ecarraya
ekarri,ecarri
ekartzaile,ecartzallea
ekautu,ecautua
ekai,ecaya
eze,ecea
ezen,ecen
ezerago,eceragoa
ezerezkeria,ecerezqueria
ezereztatu,ecereztatu
ezereztatu,ecereztatua
ezereztu,ecereztu
ezereztu,ecereztú
ezereztu,ecereztua
etxadi,echadia
etxajaun,echajauna
etxalde,echaldea
etxandi,echandia
etxandre,echandrea
etxape,echapea
etxati,echatia
etxatu,echatuac
etxatze,echatzea
etxe,eche
etxeko,echecoa
etxola,echola
etxolatxo,echolachoa
etxondo,echondoa
etxoste,echostea
ezizen,ecicena
ezin,eciña
ezindako,ecindacoa
ezindu,ecindu
ezindu,ecindua
ezinegon,eciñegona
ezingarri,ecingarria
ezinkizun,ecinquizuna
ezinti,ecintia
ekurte,ecurtea
edaendu,edaendua
edagale,edagalea
edagile,edaguillea
edale,edalea
edan,edaná
edakizun,edaquizuna
edaran,edarana
edari,edaria
edarikin,edariquiña
edaritegi,edariteguia
edasle,edaslea
edatoki,edatoquia
ede,edeá
edentsu,edentsua
eder,eder
eder eder,eder ederra
ederkai,edercaya
edergai,edergaia
edergailu,edergailluac
edergarri,edergarri
edergarri,edergarria
edergarri,edergarriac
ederge,ederguea
eder,ederra
eder,ederrá
ederragotu,ederragotu
ederreste,ederrestea
ederretsi,ederretsi
ederretsi,ederretsia
edertasun,edertasuna
edertu,edertu
edertu,edertú
edertu,edertua
edo,edo
edontzi,edoncia
edoskaldi,edoscaldia
edoskai,edoscaya
edoski,edosqui
edoski,edosquia
edoskinde,edosquindea
edoskitzaile,edosquitzallea
egarki,egarquia
egarri,egarria
egarri,egarriac
egloga,egloga
ego,ego
egobiar,egobiarra
egoera,egoera
egoitza,egoitza
egoitza,egoitzá
egon,egon
egon,egoná
egoki,egoqui
egoki,egoquia
egokide,egoquidea
egokiez,egoquieza
egokinde,egoquindea
egokintsu,egoquintsua
egorri,egorri
egorri,egorria
egosi,egosi
egosi,egosia
egote,egotea
egotzi,egotzia
egozgo,egozgoa
egozle,egozlea
egozte,egoztea
eguaire,eguairea
eguaize,eguaizea
eguantz,eguanza
eguberri,eguberriac
egukoaurre,egucoaurrea
egia,eguia
egiati,eguiatia
egiatu,eguiatua
egiazale,eguiazalea
egiazko,eguiazcoa
egiaztatu,eguiaztatu
egikari,eguicaria
egikaritu,eguicaritu
egikaritu,eguicaritua
egikai,eguicaya
egikunde,eguicundea
egiesale,eguiesalea
egilili,eguililia
egile,eguillea
eginbide,eguimbidea
egin,eguin
egin,eguiña
eginbide,eguinbidea
egindazko,eguindazcoa
eginde,eguindea
eginkizun,eguinquizuna
egintari,eguintaria
egintz,eguintzac
egintzazko,eguintzazcoa
egintzaile,eguinzallea
egitate,eguitatea
egite,eguitea
egiteko,eguitecoa
egiteko,eguitecoac
egitura,eguitura
egiune,eguiunea
egiztatu,eguiztatu
egun,egun
egun,eguná
egunari,egunaria
eguneko,egunecoa
eguneroko,egunerocoa
eguraldi,eguraldia
eguras,egurasá
egurastu,egurastu
egurastu,egurastú
egurastu,egurastua
egurko,egurcoa
egurgile,egurguillea
egur,egurrá
egurri,egurriac
egutaldi,egutaldia
eguzki,eguzqui
eguzki,eguzquia
eguzkitegi,eguzquiteguia
eguzkitu,eguzquitu
eguzkitu,eguzquitua
eguzkitzar,eguzquitzarra
ehaitu,ehaitua
eho,eho
eho,ehoa
ehortzi,ehortzia
ehortzulo,ehortzuloa
eizare,eizarea
elar,elarra
elarri,elarria
elai,elaya
elbarri,elbarri
elbarri,elbarria
elbarritu,elbarritu
elbarritu,elbarritua
elkar lotu,elcar lotua
elkardun,elcarduna
elkarganatu,elcarganatu
elkarganatu,elcargánatu
elkarganatu,elcarganatua
elkargarri,elcargarria
elkargo,elcargoac
elkargun,elcarguna
elkarkide,elcarquidea
elkarraldi,elcarraldia
elkarrekiko,elcarrequicoa
elkarrezgarri,elcarrezgarria
elkarrikako,elcarricacoa
elkarte,elcartea
elkartu,elcartu
elkartu,elcartua
elkartze,elcartzea
eltxo,elchoa
elkor,elcorra
eldarnio,eldarnioa
elder,eldera
ele,elea
elgorri,elgorria
eli,elia
elikatu,elicatua
eliza,eliza
elorri,elorria
eltzagor,eltzagorra
eltzakintegi,eltzaquinteguia
eltze,eltzea
eltzetxo,eltzechoa
eltzegile,eltzeguillea
elur,elurra
elurte,elurtea
elurtegi,elurteguia
elurtsu,elurtsua
elurtu,elurtua
emakumetu,emacumetu
emakumetu,emacumetua
emaezgarri,emaezgarria
emagoki,emagoquia
emagin,emaguiña
emagintza,emaguintza
emaguri,emaguria
emaile,emaillea
emaitza,emaitza
emaitz,emaitzac
emajauzle,emajauzlea
emaile,emallea
emaloro,emaloroa
eman,eman
eman,emán
eman,emaná
emanaitasun,emanaitasuna
emande,emandea
emakida,emaquida
emasabel,emasabela
emaskidari,emasquidaria
emate,ematea
emate,emátea
ematoro,ematoroa
ematu,ematu
ematu,ematú
ematu,ematua
emaztetu,emaztetua
emazurtz,emazurtza
enbarkazio,embarcacioa
enbarkatu,embarcatua
enbustari,embustaria
eme,emea
emendatu,emendatu
emendatu,emendatua
emendatzaile,emendatzallea
emendio,emendioa
emetasun,emetasuna
emon,emon
enpatxu,empachua
enparatu,emparatua
enpesatu,empesatua
enastu,enastua
enkailatu,encallatua
enkargatu,encargatua
enkargu,encargua
entzerratu,encerratua
endibia,endibia
enfadatu,enfadatua
enganatu,enganatu
enganatu,engañatu
enordun,enorduna
entsalada,ensalada
entrega,entrega
entregatu,entregatu
entregatzaile,entregatzallea
entzun,entzun
enurati,enuratia
entzun,enzun
entzun,enzuná
epaile,epaillea
epaiketa,epaiqueta
epaisk,epaiscac
epaite,epaitea
epaitu,epaitu
epaitu,epaitua
epaitza,epaitza
epaitz,epaitzac
epaile,epallea
epaki,epaquia
epaki,epaquiá
epe,epea
epeldu,epeldu
epeldu,epeldua
epeltasun,epeltasuna
eperdi,eperdia
eper,eperrá
eperridi,eperridia
eki,equia
ekitxulo,equichuloa
ekidarau,equidaraua
ekidari,equidaria
ekidatu,equidatua
ekidrau,equidraua
ekin,equin
ekin,equiña
ekinai,equinaya
ekindari,equindaria
ekindu,equindua
ekintza,equintza
ekintza,equinza
era,era
era,eraa
erabazi,erabacia
erabage,erabaguea
erabaki,erabaqui
erabaki,erabaquia
erabe,erabea
erabide,erabidea
erabilkai,erabilcaya
erabili,erabilli
erabili,erabillia
erabiltzaile,erabiltzallea
erakaitz,eracaitza
erakaitz,eracaitzá
erakarde,eracardea
erakargarri,eracargarria
erakarri,eracarri
erakarri,eracarria
erakai,eracaya
eratxeki,erachequí
eratxo,erachoa
erazio,eracioa
erakuskari,eracuscaria
erakusgarri,eracusgarria
erakusi,eracusia
erakusle,eracuslea
erakustari,eracustaria
eradoski,eradosqui
eradoski,eradosquia
erago labur,erago laburra
erago,eragoa
erago,eragoá
erago,eragoac
eragoki,eragoquia
eragokitu,eragoquitua
eragotzi,eragotzia
eragozgarri,eragozgarria
erage,eraguea
eragetu,eraguetua
eragile,eraguillea
eragin,eraguin
eragin,eraguiña
eraiki,eraiqui
eraiki,eraiquia
eraitorle,eraitorlea
erajan,erajana
eraldatu,eraldatu
eraldatu,eraldatua
eraldi,eraldia
eraile,erallea
erailetu,eralletua
eralkitzaile,eralquitzallea
eramaile,eramallea
eraman,eraman
eraman,erámán
eraman,erámana
eramangarri,eramangarria
eranpe,erampea
erantzi,erancia
erantsi,eransi
erantsi,eransia
erantsi,eransiá
erantz,eranza
erantzatu,eranzatua
erantzulari,eranzularia
erantzule,eranzulea
erantzun,eranzun
erantzun,eranzuna
erantzungarri,eranzungarria
erantzuki,eranzuquia
erantzukide,eranzuquidea
erantzukin,eranzuquiña
erape,erapea
erapeko,erapecoa
erakidatu,eraquidatua
eraratu,eraratua
erasale,erasalea
erasan,erasan
erasari,erasaria
eraso,eraso
eraso,erasó
eraso,erasoa
eraso,erasoá
erasotzaile,erasotzallea
eraskin,erasquiña
eraskin,erasquiñac
eraste,erastea
eratu,eratu
erauzi,erauci
erauzi,eraucia
erauzimendu,eraucimendua
erauzitu,eraucitua
erauntsi,eraunsi
erauntsi,eraunsia
erauntsi,erauntsia
erausi,erausi
erausi,erausia
erausi,erausiac
erausle,erauslea
erauspen,erauspena
erautsi,erautsi
erazkai,erazcaya
erazle,erazlea
erazo,erazoa
erazogile,erazoguillea
eraztu,eraztu
eraztu,eraztua
erbarruti,erbarrutia
erbatz,erbatza
erbeste,erbeste
erbeste,erbestea
erbestetu,erbestetua
erbikume,erbicumea
erbinude,erbiñudea
erdaldun,erdalduna
erdaliri,erdaliria
erdara,erdara
erdesle,erdeslea
erdi,erdia
erdialdi,erdialdia
erdiesle,erdieslea
erdietsi,erdietsi
erdietsi,erdietsia
erdiragile,erdiraguillea
erdiratu,erdiratu
erdiratu,erdiratua
erditzaile,erditzallea
erditze,erditzea
erdizkatu,erdizcatu
erdoste,erdostea
ere,ere
ere,erea
ereder,erederra
ereile,ereillea
erein,ereiñ
ereingiro,ereinguiroa
ereino,ereiñoa
ereite,ereitea
eremaiztiez,eremaiztieza
eremu,eremua
eremu,eremuá
eremutar,eremutarra
eremutu,eremutua
eresi,eresia
ereztatu,ereztatua
ergaiko,ergaicoa
ergokendu,ergoquendua
ergel,erguela
ergel,erguelá
ergelkeria,erguelqueria
eri,eri
eri,eria
eri,eriá
erialdi,erialdia
erikor,ericorra
erikoi,ericoya
eriden,eriden
eripegarri,eripegarria
eripetu,eripetua
eritasun,eritasuna
eritasun,eritasunac
eritegi,eriteguia
eritezgarri,eritezgarria
eritsu,eritsua
eritu,eritu
eritu,eritua
eritzaile,eritzallea
eritze,eritzea
erizain,erizaina
erlabio,erlabioa
erlatxe,erlachea
erladi,erladia
erlastu,erlastu
erlastu,erlastua
erle,erlea
erletxo,erlechoa
erlezain,erlezaina
erlojugile,erlojuguillea
erluze,erlucea
ernaberri,ernaberria
ernari,ernaria
ernatu,ernatu
ernatu,ernatua
ernai,ernaya
ernegari,ernegaria
ernegatu,ernegatu
eroangarri,eroangarria
eroakizun,eroaquizuna
eroate,eroatea
erodiski,erodisquia
erogarri,erogarria
eroitzorri,eroitzorria
erondari,erondaria
eronde,erondea
erokeria,eroqueria
erorkor,erorcorra
erori,erori
erori,eroria
erorte,erortea
erosgo,erosgoa
erosi,erosi
erosi,erosia
erosketa,erosqueta
erosta,erosta
erostari,erostaria
erostatu,erostatu
erotasun,erotasuna
erotu,erotu
erotzar,erotzarra
erp,erpac
erpatsu,erpatsua
erpin,erpiña
erpin,erpiñá
erpindu,erpindua
erpuru,erpurua
erkindu,erquindua
erkitu,erquitua
errakai,erracaya
errakoi,erracoya
errago,erragoa
erragosi,erragosia
erraikoi,erraicoya
erraiki,erraiquia
erramin,erramiña
erramu,erramua
erramuzko,erramuzcoa
erramuztu,erramuztua
erran,erran
erran komun,erran comuna
erran,errana
erran,erraña
errangi,erranguia
errapen,errapena
errakin,erraquiña
errari,errariac
errarno,errarnoa
errarte,errartea
erraspil,erraspilla
errate,erratea
errategi,errateguia
erratz,erratza
erratz,erratzá
erratz,erratzac
erratzatu,erratzatua
errauli,erraulia
errauste,erraustea
erraustegi,errausteguia
erraustu,erraustu
errauts,errautsa
errai,errayac
erraz,erraz
erraz,erraza
errazke,errazquea
errazke,errazqueac
erraztu,erraztu
erraztun,erraztuna
erre,erre
erre,erré
erre,errea
erre,erreá
