LAR_LEMMA	EGOKITUA	FAILED_MATCH
Meterlo à barato	meterlo a barato	meterlo
Callen barbas	callen barbas	callen
Barbadamente	barbadamente	barbadamente
Mento pertingere	mento pertingere	mento
Barbiteñiido	barbiteñiido	barbiteñiido
Barboquexo de caballos	barboquexo de caballos	barboquexo
Barometro	barometro	barometro
Eſtà tirando la barra	esta tirando la barra	esta
Allidere	allidere	allidere
Baſcuence	bascuence	bascuence
Baſcongados	bascongados	bascongados
Baſtantiisimamente	bastantiisimamente	bastantiisimamente
Satis	satis	satis
Baſtardilla letra	bastardilla letra	bastardilla
Bate a	bate a	bate
Hazerlo baxar	hazerlo baxar	hazerlo
Lo baxo de alguna coſa	lo baxo de alguna cosa	lo
Hazerle beber	hazerle beber	hazerle
Becerra	becerra	becerra
Bellacadamente	bellacadamente	bellacadamente
Benarriza	benarriza	benarriza
Es vn bendito	es vn bendito	es
Es vna bendicion lo que hurta	es vna bendicion lo que hurta	es
Beneficiadode Igleſia	beneficiadode iglesia	beneficiadode
Lugardonde nacen berros	lugardonde nacen berros	lugardonde
Durior quidam lapis	durior quidam lapis	durior
Betarrâiga	betarraiga	betarraiga
Mos	mos	mos
Becerra	becerra	becerra
Bicha	bicha	bicha
Es vna bicoca eſte lugar	es vna bicoca este lugar	es
Bimbalete	bimbalete	bimbalete
Bir reta de Cardenal	bir reta de cardenal	bir
Biſabuela	bisabuela	bisabuela
Biſabuelo	bisabuelo	bisabuelo
Pyxis nautica	pyxis nautica	pyxis
Biſmado	bismado	bismado
Hazerſe	hazerse	hazerse
Lo	lo	lo
Blasfemar	blasfemar	blasfemar
Appetente nocte	appetente nocte	appetente
Dexole con la palabra en la boca	dexole con la palabra en la boca	dexole
Bofes	bofes	bofes
Eſcurrirla bola	escurrirla bola	escurrirla
Haáet bolas	haaet bolas	haaet
Viene pie con bola	viene pie con bola	viene
Boſilla	bosilla	bosilla
Boquinvelſ	boquinvels	boquinvels
Borrarſe de la memoria	borrarse de la memoria	borrarse
Eſtà boſtezando	esta bostezando	esta
Botalon	botalon	botalon
Eote de pelota	eote de pelota	eote
Las flores eſtan en boton	las flores estan en boton	las
Eoxar	eoxar	eoxar
Es vn bragazas	es vn bragazas	es
Branque	branque	branque
Bravios arboles	bravios arboles	bravios
Cruzados los brazos	cruzados los brazos	cruzados
Bretones de berza	bretones de berza	bretones
Brevelad	brevelad	brevelad
Breiario de el rezo	breiario de el rezo	breiario
Br aga	br aga	br
Reſtis torcularia	restis torcularia	restis
Alicui propimare	alicui propimare	alicui
Brizado	brizado	brizado
Ornare	ornare	ornare
Hazerſe bruxa	hazerse bruxa	hazerse
Bubas	bubas	bubas
Las miſmas diferencias ay	las mismas diferencias ay	las
Bulle	bulle	bulle
Burulete	burulete	burulete
Buxerias	buxerias	buxerias
LLa al	lla al	lla
Cabælgar la artilleria	cabaelgar la artilleria	cabaelgar
Cabaluſte	cabaluste	cabaluste
Cabalſeril	cabalseril	cabalseril
Caballerjza	caballerjza	caballerjza
Cabañia	cabañia	cabañia
Cabeſtrear	cabestrear	cabestrear
Cabea de proceſſo	cabea de proceso	cabea
Ee cabeza	ee cabeza	ee
Ponerſele à vno algo en la cabeza	ponersele a vno algo en la cabeza	ponersele
Puſoſele en la cabeza	pusosele en la cabeza	pusosele
Cabezadas de el que duerme	cabezadas de el que duerme	cabezadas
Pugiunculus	pugiunculus	pugiunculus
Cachivaches	cachivaches	cachivaches
Cazicazgo	cazicazgo	cazicazgo
Cacochymia	cacochymia	cacochymia
Cacochymio	cacochymio	cacochymio
Caerle algo bien	caerle algo bien	caerle
Es vn cagado	es vn cagado	es
Hazer cala	hazer cala	hazer
Calamorrar	calamorrar	calamorrar
Arietare	arietare	arietare
Rotæ canthus	rotae canthus	rotae
Es vn calcillas	es vn calcillas	es
Dixo la ſarten à la Caldera	dixo la sarten a la caldera	dixo
Cadiche	cadiche	cadiche
Caliila	caliila	caliila
Caliza	caliza	caliza
Haer catlar	haer catlar	haer
Angiportus	angiportus	angiportus
Callejera	callejera	callejera
Callejela	callejela	callejela
Darrpan	darrpan	darrpan
Haze calor	haze calor	haze
Caizar pared s	caizar pared s	caizar
Veſtdo	vestdo	vestdo
Lat	lat	lat
Camachuelo	camachuelo	camachuelo
Camafeo	camafeo	camafeo
Canmara	canmara	canmara
Indiarum judices	indiarum judices	indiarum
Camarones	camarones	camarones
Cameſiſe	camesise	camesise
Subucula	subucula	subucula
Canmiſilla	canmisilla	canmisilla
Hazer campo	hazer campo	hazer
Canaſa	canasa	canasa
Gancer ;	gancer ;	gancer
Ganceroſo	ganceroso	ganceroso
Gncilla	gncilla	gncilla
Cagiton	cagiton	cagiton
Canſcula	canscula	canscula
Caniculares	caniculares	caniculares
Inæqualia textorum fila	inaequalia textorum fila	inaequalia
Cantabro	cantabro	cantabro
Oſicina de Canteros	osicina de canteros	osicina
Cañia de Bengala	cañia de bengala	cañia
Caafiſtola	caafistola	caafistola
Cañiaſiſtolo	cañiasistolo	cañiasistolo
Cañiamazo	cañiamazo	cañiamazo
Cañianmiza	cañianmiza	cañianmiza
Cañabera	cañabera	cañabera
Cañúon de campaña	cañuon de campaña	cañuon
Cañoncar	cañoncar	cañoncar
Fee	fee	fee
Caperucilla	caperucilla	caperucilla
Capillar	capillar	capillar
Capillero	capillero	capillero
Capuehino	capuehino	capuehino
Hazer carantoñas	hazer carantoñas	hazer
Americanum	americanum	americanum
Carbi	carbi	carbi
Hazerſe earbon vna coſa	hazerse earbon vna cosa	hazerse
Carcelaje	carcelaje	carcelaje
Crcola	crcola	crcola
Parece voz Baſcongada	parece voz bascongada	parece
Cardadura	cardadura	cardadura
Vnos tienen la fama	vnos tienen la fama	vnos
Carezco de todas las coſas	carezco de todas las cosas	carezco
Careſtla	carestla	carestla
Lat	lat	lat
Cargadodeaños	cargadodeaños	cargadodeaños
Anglica	anglica	anglica
Carima	carima	carima
Caritativo	caritativo	caritativo
Caritativamente	caritativamente	caritativamente
Carmesl	carmesl	carmesl
Carnicei r matanza de gente	carnicei r matanza de gente	carnicei
Carricero	carricero	carricero
Carocas	carocas	carocas
Serblando de carona	serblando de carona	serblando
Lat	lat	lat
Caraſpera	caraspera	caraspera
Lo que ha de cantar elcarro	lo que ha de cantar elcarro	lo
Carromato	carromato	carromato
Carroñar	carroñar	carroñar
Carrela	carrela	carrela
Pagellarum quidam ludus ſic dictus	pagellarum quidam ludus sic dictus	pagellarum
Cirthamo	cirthamo	cirthamo
Carvallar	carvallar	carvallar
Caia ſolariega	caia solariega	caia
Caſcapiñones	cascapiñones	cascapiñones
Cacarilla	cacarilla	cacarilla
Caicos	caicos	caicos
Lavarle à vno	lavarle a vno	lavarle
Caſicaſi	casicasi	casicasi
Sacarle à vno de ſus caſillas	sacarle a vno de sus casillas	sacarle
Calo que	calo que	calo
Dèmos caſo	demos caso	demos
Hazer caſo de algo	hazer caso de algo	hazer
Es caſo negado	es caso negado	es
Vamos al caſo	vamos al caso	vamos
Caſquiio	casquiio	casquiio
Caſqullo de ſaeta	casqullo de saeta	casqullo
Caſsiopea	casiopea	casiopea
Hazerſe pilonga la caſtaña	hazerse pilonga la castaña	hazerse
Caſtaieteado	castaieteado	castaieteado
Caſtano	castano	castano
Caſtelano	castelano	castelano
Caſtitad	castitad	castitad
Catecumeno	catecumeno	catecumeno
Catequiſta	catequista	catequista
Catequizar	catequizar	catequizar
Catoſico	catosico	catosico
Catrvar	catrvar	catrvar
Hazer caudal de vna coſa	hazer caudal de vna cosa	hazer
Cauia eficiente	cauia eficiente	cauia
Cauia formal	cauia formal	cauia
Cazcarrias	cazcarrias	cazcarrias
Caſcarriento	cascarriento	cascarriento
Cazela	cazela	cazela
Cebadazo	cebadazo	cebadazo
Ceellina	ceellina	ceellina
Ceca	ceca	ceca
Cegarſe	cegarse	cegarse
Es como vyna cendra	es como vyna cendra	es
Cenizal	cenizal	cenizal
Hazer à vno	hazer a vno	hazer
Froela laaria Lat e-	froela laaria lat e-	froela
Eſtà en ſu centro	esta en su centro	esta
Fundamentum	fundamentum	fundamentum
Frro	frro	frro
Hazer de vno cera	hazer de vno cera	hazer
Cerea de tierra	cerea de tierra	cerea
Lat	lat	lat
Cierta enfermedad de el cerdo	cierta enfermedad de el cerdo	cierta
Ritè	rite	rite
Cerezas mayores	cerezas mayores	cerezas
Ceribones	ceribones	ceribones
Cernejas de caballerias	cernejas de caballerias	cernejas
Palito de abujerar el pan	palito de abujerar el pan	palito
Cerrauzjal	cerrauzjal	cerrauzjal
Cerreta	cerreta	cerreta
Chà	cha	cha
Chaconifa	chaconifa	chaconifa
Chafſanado	chafsanado	chafsanado
Lat	lat	lat
Chamarraſca	chamarrasca	chamarrasca
Chameleâ	chamelea	chamelea
Chamclote	chamclote	chamclote
Chamuſcar	chamuscar	chamuscar
Chaodado	chaodado	chaodado
Immerſio capitis in aquam	immersio capitis in aquam	immersio
Minutiſsimum margaritum	minutisimum margaritum	minutisimum
Cbaſquear	cbasquear	cbasquear
Zhaſquear	zhasquear	zhasquear
Americano	americano	americano
Clifla	clifla	clifla
Ciflador	ciflador	ciflador
Chiſlador con la boca	chislador con la boca	chislador
Ore ſibilans	ore sibilans	ore
Rerum diverſarum ternarium	rerum diversarum ternarium	rerum
Clavos de chilla	clavos de chilla	clavos
Hazer chillar	hazer chillar	hazer
Chiriola	chiriola	chiriola
Chiroteca	chiroteca	chiroteca
Chiiſguete	chiisguete	chiisguete
Ctiſmeria	ctismeria	ctismeria
Es hombre de cholla	es hombre de cholla	es
Lat	lat	lat
Chryſolito	chrysolito	chrysolito
Cuzon	cuzon	cuzon
Chuzonerìa	chuzoneria	chuzoneria
Ciclo	ciclo	ciclo
Ciclope	ciclope	ciclope
Soñaba el ciego que veìa	soñaba el ciego que veia	soñaba
Cielode la boca	cielode la boca	cielode
Ciendoblo	ciendoblo	ciendoblo
Cilindro	cilindro	cilindro
Cilindrico	cilindrico	cilindrico
Merces pro reconditione frugum in	merces pro reconditione frugum in	merces
Cilſlero	cilslero	cilslero
Cimacio	cimacio	cimacio
Cimbalaria	cimbalaria	cimbalaria
Cimbalillo	cimbalillo	cimbalillo
Baſcuence	bascuence	bascuence
Cinife	cinife	cinife
Cinocephalo	cinocephalo	cinocephalo
Cinomorrion	cinomorrion	cinomorrion
Cinoſura	cinosura	cinosura
Cincunciſsion	cincuncision	cincuncision
Circunſlexo	circunslexo	circunslexo
Circunlocucion	circunlocucion	circunlocucion
Circunſeribir	circunseribir	circunseribir
Ciſcunſpecto	ciscunspecto	ciscunspecto
Cirro	cirro	cirro
Ciſne	cisne	cisne
Cizaña	cizaña	cizaña
Clariſicar lo obſcuro	clarisicar lo obscuro	clarisicar
Vamos claros	vamos claros	vamos
Clavetero	clavetero	clavetero
Hazerſe clerigo	hazerse clerigo	hazerse
Clueca gallina	clueca gallina	clueca
Coad utoria	coad utoria	coad
Coadjuvar	coadjuvar	coadjuvar
Coadjuvado	coadjuvado	coadjuvado
Coceaor	coceaor	coceaor
Cocodrillo	cocodrillo	cocodrillo
Cogidoaſsi	cogidoasi	cogidoasi
Eos	eos	eos
Cognoſcibile	cognoscibile	cognoscibile
Coincidencia	coincidencia	coincidencia
Cojo	cojo	cojo
Coectacion	coectacion	coectacion
Coliflor	coliflor	coliflor
Colirio	colirio	colirio
Apiarium	apiarium	apiarium
Coloqutor	coloqutor	coloqutor
Colirio	colirio	colirio
Combidar	combidar	combidar
Combinado	combinado	combinado
Combite	combite	combite
Elque come	elque come	elque
Mercatura	mercatura	mercatura
Lat	lat	lat
Comilona	comilona	comilona
Comltiva	comltiva	comltiva
Commenſurable	commensurable	commensurable
Commenſurado	commensurado	commensurado
Commutable	commutable	commutable
Commutado	commutado	commutado
Coemo	coemo	coemo
Comodatario	comodatario	comodatario
Compadrazgo	compadrazgo	compadrazgo
Companñero	companñero	companñero
Copſtura	copstura	copstura
Comprad r	comprad r	comprad
Compromiſſarius	compromisarius	compromisarius
Cmpullado	cmpullado	cmpullado
Com	com	com
Compuliorio	compuliorio	compuliorio
Ers	ers	ers
Eſta prepoſicion	esta preposicion	esta
Hazerlo concavo	hazerlo concavo	hazerlo
Conceptiar	conceptiar	conceptiar
Lo que concierne à eſto	lo que concierne a esto	lo
Conchabado	conchabado	conchabado
Encorcluſion	encorclusion	encorclusion
Coneomitancia	coneomitancia	coneomitancia
Lat	lat	lat
Coneubinato	coneubinato	coneubinato
Condecracion	condecracion	condecracion
Condocorar	condocorar	condocorar
Condecotar	condecotar	condecotar
Condoecorado	condoecorado	condoecorado
Condeſcendiente	condescendiente	condescendiente
Condolerie	condolerie	condolerie
Conftabular	conftabular	conftabular
Ccnfeſſado	ccnfesado	ccnfesado
Coneſante	conesante	conesante
Confidencialmente	confidencialmente	confidencialmente
Configurado	configurado	configurado
Eo	eo	eo
Cnfites	cnfites	cnfites
Conſitero	consitero	consitero
Conficto	conficto	conficto
Confuencia	confuencia	confuencia
Conformado	conformado	conformado
Confſundido aſsi	confsundido asi	confsundido
Conſutar	consutar	consutar
Conglutinacion	conglutinacion	conglutinacion
Connotar	connotar	connotar
Connotado	connotado	connotado
Connotacion	connotacion	connotacion
Connotador	connotador	connotador
Indic	indic	indic
Imperf	imperf	imperf
Indic	indic	indic
Imperf	imperf	imperf
Indic	indic	indic
Imperf	imperf	imperf
Indic	indic	indic
Imperf	imperf	imperf
Indic	indic	indic
Imperf	imperf	imperf
Indic	indic	indic
Imperf	imperf	imperf
Eſtos irregulares ſirven	estos irregulares sirven	estos
Conquiſlar	conquislar	conquislar
Conſaber	consaber	consaber
Conſabido	consabido	consabido
Hazerſe conſanguineo	hazerse consanguineo	hazerse
Hazer conſerva	hazer conserva	hazer
Conſiiiario	consiiiario	consiiiario
Salabrai	salabrai	salabrai
Conſolariſe	consolarise	consolarise
Conſorar	consorar	consorar
Los conſpirados	los conspirados	los
Hazerſe conſtante	hazerse constante	hazerse
Conſta	consta	consta
Los conſternados	los consternados	los
Conſftitucion	consftitucion	consftitucion
Conſtruido	construido	construido
Conſtructor	constructor	constructor
Hazerſe conſubſtancial	hazerse consubstancial	hazerse
Hazerſe Conſul	hazerse consul	hazerse
Conſultantes	consultantes	consultantes
Elque los haze	elque los haze	elque
Pecuaria	pecuaria	pecuaria
Contagiado	contagiado	contagiado
Cotraccion	cotraccion	cotraccion
Contrahazer	contrahazer	contrahazer
Contrahierva	contrahierva	contrahierva
Contraſtable	contrastable	contrastable
Contratiempo	contratiempo	contratiempo
Contraevengo à la Ley de Dios	contraevengo a la ley de dios	contraevengo
Controvertible	controvertible	controvertible
Contundir	contundir	contundir
Conturbantes	conturbantes	conturbantes
Conviene	conviene	conviene
Conviene à ſaber	conviene a saber	conviene
Convierte las piedras en pan	convierte las piedras en pan	convierte
Coordinador	coordinador	coordinador
Baſcuence eſte nombre à vnos ceſticos	bascuence este nombre a vnos cesticos	bascuence
Hazer de el lino eſtos copos	hazer de el lino estos copos	hazer
Corcoba	corcoba	corcoba
Corcobado	corcobado	corcobado
Hazerſe corcovado	hazerse corcovado	hazerse
Corcobear el Caballo	corcobear el caballo	corcobear
Corcobo	corcobo	corcobo
Cordelero	cordelero	cordelero
Coripheo	coripheo	coripheo
Cornejo	cornejo	cornejo
Amaltheæ cornu	amaltheae cornu	amaltheae
Corpanchonde ave ſin pechugas	corpanchonde ave sin pechugas	corpanchonde
Es vn corral de vacas	es vn corral de vacas	es
Coredera	coredera	coredera
Hazerſe correoſo	hazerse correoso	hazerse
Corre	corre	corre
Corriò la voz	corrio la voz	corrio
Correme bien el oficio	correme bien el oficio	correme
Correrla	correrla	correrla
Corre mucho rieſgo	corre mucho riesgo	corre
Mutuis litteris	mutuis litteris	mutuis
Correvedil	correvedil	correvedil
Corrriente	corrriente	corrriente
Corroptibilidad	corroptibilidad	corroptibilidad
Cortecita	cortecita	cortecita
Puede ſer	puede ser	puede
Andarde corto	andarde corto	andarde
Hazer corvetas	hazer corvetas	hazer
Rara	rara	rara
Hazer coſtra	hazer costra	hazer
Coſtribar	costribar	costribar
Coitumbre immemorial	coitumbre immemorial	coitumbre
Cotillero	cotillero	cotillero
Cotorra	cotorra	cotorra
Cor ey viejo	cor ey viejo	cor
Coſcoxita	coscoxita	coscoxita
Cogear	cogear	cogear
Coxeza	coxeza	coxeza
Coxijo	coxijo	coxijo
Hazerſe coxo	hazerse coxo	hazerse
Lo	lo	lo
Es tirar cozes contra el aguijon	es tirar cozes contra el aguijon	es
Ale luporum catulos	ale luporum catulos	ale
Criada	criada	criada
Salade el Crimen	salade el crimen	salade
Criſolito	crisolito	crisolito
Criſtal	cristal	cristal
Criſtiano	cristiano	cristiano
Cronica	cronica	cronica
Cronicon	cronicon	cronicon
Croniſta	cronista	cronista
Cronographia	cronographia	cronographia
Cronographo	cronographo	cronographo
Cronologia	cronologia	cronologia
Cronologicamente	cronologicamente	cronologicamente
Cronologico	cronologico	cronologico
Cronologo	cronologo	cronologo
Moneta argentea a cruce nomen ha-	moneta argentea a cruce nomen ha-	moneta
Cruzados los brazos	cruzados los brazos	cruzados
Cruzarle la cara	cruzarle la cara	cruzarle
Crj ſtal	crj stal	crj
Cuaiado	cuaiado	cuaiado
Cajar	cajar	cajar
Es vna mala cuca	es vna mala cuca	es
Madeja ſin cuenda	madeja sin cuenda	madeja
Lo miſmo ſe dize de el floxo	lo mismo se dize de el floxo	lo
Hazer	hazer	hazer
Viene	viene	viene
Tiene buen cuerpo	tiene buen cuerpo	tiene
Auctoritate regia tumidus	auctoritate regia tumidus	auctoritate
Muy cueſta arriba ſe me haze	muy cuesta arriba se me haze	muy
Cueſtecilla	cuestecilla	cuestecilla
Eſtà de cuidado eſte enfermo	esta de cuidado este enfermo	esta
Cuitarſe	cuitarse	cuitarse
Hazer culebra	hazer culebra	hazer
Cunplir	cunplir	cunplir
Es muy cumplido eſte hombre	es muy cumplido este hombre	es
Cunde como cancer	cunde como cancer	cunde
Dacalos	dacalos	dacalos
Dactilo	dactilo	dactilo
Lo mejor de los dados	lo mejor de los dados	lo
Dale	dale	dale
Hablando de las danzas Baſcongadas	hablando de las danzas bascongadas	hablando
Bmena và la danza	bmena va la danza	bmena
Algunos irregulares ſe han pueſto en la	algunos irregulares se han puesto en la	algunos
Dàmelos	damelos	damelos
Dànoslo tu	danoslo tu	danoslo
Dànoslos tu	danoslos tu	danoslos
Dàdnoslo voſotros	dadnoslo vosotros	dadnoslo
Dàdnoslos	dadnoslos	dadnoslos
Preſ	pres	pres
Dàle	dale	dale
Dèmos	demos	demos
Dale que le dàs	dale que le das	dale
Darſele	darsele	darsele
Los modos de hablar con eſte verbo ſe	los modos de hablar con este verbo se	los
Dàrſele algo	darsele algo	darsele
Hazenſe tambien con los irregulares	hazense tambien con los irregulares	hazense
Dàrſele	darsele	darsele
Eſto eſta de mala data	esto esta de mala data	esto
Daiilado	daiilado	daiilado
Eſta	esta	esta
Lo miſmo es	lo mismo es	lo
Debo hazerlo	debo hazerlo	debo
Debo darſelo	debo darselo	debo
Debcerè	debcere	debcere
Debe de	debe de	debe
Hazer ſu deber	hazer su deber	hazer
Dcbido	dcbido	dcbido
Debidamcnte	debidamcnte	debidamcnte
Debilitrado	debilitrado	debilitrado
Debo	debo	debo
Decenrarſe vn cnfermo	decenrarse vn cnfermo	decenrarse
Deccpcion	deccpcion	deccpcion
Decia yo	decia yo	decia
Digole	digole	digole
Deciale yo	deciale yo	deciale
Digoles yo	digoles yo	digoles
Deciales yo	deciales yo	deciales
Digotelo yo	digotelo yo	digotelo
Deciatelo yo	deciatelo yo	deciatelo
Digooslo yo	digooslo yo	digooslo
Deciaoslo yo	deciaoslo yo	deciaoslo
Dilo	dilo	dilo
Decidlo	decidlo	decidlo
Digolo yo	digolo yo	digolo
Decialo yo	decialo yo	decialo
Decidle	decidle	decidle
Digamoslo	digamoslo	digamoslo
Dicen que	dicen que	dicen
Dicen	dicen	dicen
Declamado	declamado	declamado
Decrepita	decrepita	decrepita
EDedo de en medio	ededo de en medio	ededo
Dedos corvos	dedos corvos	dedos
Dedtcido	dedtcido	dedtcido
Eefalcar	eefalcar	eefalcar
Elque degenera	elque degenera	elque
Deheſas	dehesas	dehesas
Deiſicar	deisicar	deisicar
Dejar	dejar	dejar
Demandadera de Monjas	demandadera de monjas	demandadera
Los dem às	los dem as	los
Demonſtrador	demonstrador	demonstrador
Dcnodado	dcnodado	dcnodado
Detl araaventar la paia	detl araaventar la paia	detl
Dentellones	dentellones	dentellones
Dentrode poco	dentrode poco	dentrode
Dependemos de Dios	dependemos de dios	dependemos
Deplotado	deplotado	deplotado
Derecha	derecha	derecha
DerechoCanonico	derechocanonico	derechocanonico
Derrepente	derrepente	derrepente
Deſaaſtecido	desaastecido	desaastecido
Deſabrirſe	desabrirse	desabrirse
Deſac oſtumbradamente	desac ostumbradamente	desac
Eeſacreditado	eesacreditado	eesacreditado
Deſadoruar	desadoruar	desadoruar
Deſavertir	desavertir	desavertir
Rtem petulantia	rtem petulantia	rtem
Acerbè	acerbe	acerbe
Eeſamotinarſe	eesamotinarse	eesamotinarse
Eeſandrajado	eesandrajado	eesandrajado
Deſaparroquiarſe	desaparroquiarse	desaparroquiarse
Deſaperce bidamente	desaperce bidamente	desaperce
Deſa probacion	desa probacion	desa
Deſarrutar	desarrutar	desarrutar
Deſarrumar	desarrumar	desarrumar
Desbalixar	desbalixar	desbalixar
Desbraguetado	desbraguetado	desbraguetado
Nudipedem ambulare	nudipedem ambulare	nudipedem
Deicaperuzo	deicaperuzo	deicaperuzo
Averſari	aversari	aversari
Hazer deſcender	hazer descender	hazer
Deſcozer	descozer	descozer
Xus	xus	xus
Deſcornado	descornado	descornado
Negligenter	negligenter	negligenter
Deſcuida tu de eſſo	descuida tu de eso	descuida
Deſdecirſe	desdecirse	desdecirse
Las damas al deſden parecen bien	las damas al desden parecen bien	las
Es vn deſdichado	es vn desdichado	es
Lo que vno deſecha	lo que vno desecha	lo
Deſtruere	destruere	destruere
Deiembanaſtado	deiembanastado	deiembanastado
Deſembarrado	desembarrado	desembarrado
Deſembobarſe	desembobarse	desembobarse
Deiembravecer	deiembravecer	deiembravecer
Delempeñar ſu obligacion	delempeñar su obligacion	delempeñar
Deſe ncaprichar	dese ncaprichar	dese
Deſencolorizarſe	desencolorizarse	desencolorizarse
Deſenfado	desenfado	desenfado
Deſenfardar	desenfardar	desenfardar
Deſenrrollar	desenrrollar	desenrrollar
Deſenſebar	desensebar	desensebar
Deſentollecer	desentollecer	desentollecer
Aridus	aridus	aridus
Desſilar	desilar	desilar
Desfemar	desfemar	desfemar
Deſgañiitarſe	desgañiitarse	desgañiitarse
Amicitiam diſrumpere	amicitiam disrumpere	amicitiam
Deshe redar	deshe redar	deshe
Deshilados	deshilados	deshilados
Deshoneſt	deshonest	deshonest
Dei	dei	dei
Deſigal en lo texido	desigal en lo texido	desigal
Deſigalmentæ	desigalmentae	desigalmentae
Deſinrterès	desinrteres	desinrteres
Deſſtir	destir	destir
Bo	bo	bo
Nexus ſolutio	nexus solutio	nexus
Deslinar	deslinar	deslinar
Deslindadura	deslindadura	deslindadura
Deslizarſe	deslizarse	deslizarse
Deſmadejado	desmadejado	desmadejado
Deſmadejarſe	desmadejarse	desmadejarse
Deſmadejamiento	desmadejamiento	desmadejamiento
Delmayo	delmayo	delmayo
Deſmelura	desmelura	desmelura
Deſobſigar	desobsigar	desobsigar
Deſuellacaras	desuellacaras	desuellacaras
Deſoprimir	desoprimir	desoprimir
Deſpaviladeras	despaviladeras	despaviladeras
Deſpagarſe	despagarse	despagarse
Deipaldarſe	deipaldarse	deipaldarse
Deipavorirſe	deipavorirse	deipavorirse
Deipeciugado	deipeciugado	deipeciugado
Deſpedazarie de riſa	despedazarie de risa	despedazarie
Deipedida	deipedida	deipedida
Deipejar de gente	deipejar de gente	deipejar
Deſpeluzarſe los cabellos	despeluzarse los cabellos	despeluzarse
Deſperezos	desperezos	desperezos
Deſperpentar	desperpentar	desperpentar
Deipezonar	deipezonar	deipezonar
Deſpiue	despiue	despiue
Dcipoblacion	dcipoblacion	dcipoblacion
Deſpeblar	despeblar	despeblar
Deiſprender	deisprender	deisprender
Abiicere	abiicere	abiicere
Deſprz	desprz	desprz
Deſproporcionadamente	desproporcionadamente	desproporcionadamente
Deſpoporcionar	despoporcionar	despoporcionar
Deiſpuntar de agudo	deispuntar de agudo	deispuntar
Maxillas convellere	maxillas convellere	maxillas
Deiuſadamente	deiusadamente	deiusadamente
Deſalido	desalido	desalido
Deſanecer	desanecer	desanecer
Deſanecerſe la cabeza	desanecerse la cabeza	desanecerse
Deſergonzadamente	desergonzadamente	desergonzadamente
Es muy deſvergonzado	es muy desvergonzado	es
Deſviarſe	desviarse	desviarse
Deſvlo	desvlo	desvlo
Deſvivir ie	desvivir ie	desvivir
Deſixugar	desixugar	desixugar
Deterninadamente	deterninadamente	deterninadamente
Devengado	devengado	devengado
Deeame	deeame	deeame
Dexalo	dexalo	dexalo
Dexanos	dexanos	dexanos
Dexeplar	dexeplar	dexeplar
Deto	deto	deto
Malos dexos	malos dexos	malos
Hazerſe dia	hazerse dia	hazerse
Diablra	diablra	diablra
Diabolico	diabolico	diabolico
Dyaſyntaxis	dyasyntaxis	dyasyntaxis
Dibxo	dibxo	dibxo
Dichos	dichos	dichos
Lo dicho dicho	lo dicho dicho	lo
Diricultad	diricultad	diricultad
Defidencia	defidencia	defidencia
Difuñdirſe	difuñdirse	difuñdirse
Prio	prio	prio
Dignifircar	dignifircar	dignifircar
ODilatadamente	odilatadamente	odilatadamente
Queriendo Dios	queriendo dios	queriendo
Plegue à Dios	plegue a dios	plegue
Valgame Dios	valgame dios	valgame
Diphige	diphige	diphige
Dintongar	dintongar	dintongar
Diplas	diplas	diplas
Dque	dque	dque
Diſclor	disclor	disclor
Diiconforme	diiconforme	diiconforme
Diſeuſſion	diseusion	diseusion
Diſenterìa	disenteria	disenteria
Digregar	digregar	digregar
Disſate	disate	disate
Dilparidad	dilparidad	dilparidad
Di	di	di
Dipenſar	dipensar	dipensar
Diiplicencia	diiplicencia	diiplicencia
Dilpoſicion aſsi	dilposicion asi	dilposicion
Diiponerſe con viveza	diiponerse con viveza	diiponerse
Diſueſto	disuesto	disuesto
Didaquiſicion	didaquisicion	didaquisicion
Diiſſector	diisector	diisector
Diiſeñar	diiseñar	diiseñar
Dirſer en partes menudas	dirser en partes menudas	dirser
Diſion	dision	dision
Dſerar	dserar	dserar
Diſſiaſion	disiasion	disiasion
Diſſylavo	disylavo	disylavo
Disjuntivo	disjuntivo	disjuntivo
Dierlo	dierlo	dierlo
Diverſos	diversos	diversos
Diverti	diverti	diverti
Divertirſe	divertirse	divertirse
Es muy divertido	es muy divertido	es
Dvidir	dvidir	dvidir
EDividido	edividido	edividido
Diz qie	diz qie	diz
Dobladamentc	dobladamentc	dobladamentc
Pobladamente	pobladamente	pobladamente
Dohlar	dohlar	dohlar
Dooiar	dooiar	dooiar
Dolao	dolao	dolao
Docientosveaſe	docientosvease	docientosvease
Novorum dogmatum ptrougnator	novorum dogmatum ptrougnator	novorum
Doloncid	doloncid	doloncid
Hazer donaire de algo	hazer donaire de algo	hazer
Hàzia donde	hazia donde	hazia
Siglos dorados	siglos dorados	siglos
Dormidera	dormidera	dormidera
Ganas de dormir	ganas de dormir	ganas
Hazerſele	hazersele	hazersele
Hazer el duelo	hazer el duelo	hazer
Hazer duelo de algo	hazer duelo de algo	hazer
Los duelos con pan ſon menos	los duelos con pan son menos	los
Hazerſe dueño	hazerse dueño	hazerse
Dulces	dulces	dulces
Dulcecito	dulcecito	dulcecito
Dulzayna	dulzayna	dulzayna
Los irregulares de el verbo	los irregulares de el verbo	los
Indic	indic	indic
Imperf	imperf	imperf
Eclador	eclador	eclador
